draw date,n1,n2,n3,n4,n5,pb
03/04/2016,21,26,33,48,73,14
03/01/2016,1,29,33,34,55,6
02/26/2016,3,15,19,62,74,14
02/23/2016,16,32,39,53,57,10
02/19/2016,2,27,41,50,75,4
02/16/2016,9,31,33,46,64,4
02/12/2016,1,7,44,68,73,1
02/09/2016,3,42,46,56,71,13
02/05/2016,4,6,23,55,75,2
02/02/2016,7,13,25,51,70,9
01/29/2016,20,28,49,51,52,6
01/26/2016,14,27,39,50,69,2
01/22/2016,21,25,40,46,56,3
01/19/2016,2,17,31,39,47,9
01/15/2016,29,41,53,54,70,12
01/12/2016,15,27,29,31,48,15
01/08/2016,11,39,51,57,75,2
01/05/2016,1,4,36,48,57,13
01/01/2016,7,18,37,38,39,9
12/29/2015,20,25,55,62,74,7
12/25/2015,15,25,29,44,51,4
12/22/2015,11,21,40,50,70,15
12/18/2015,6,23,24,28,62,7
12/15/2015,18,25,47,51,61,5
12/11/2015,14,20,43,54,69,5
12/08/2015,7,17,37,49,73,15
12/04/2015,26,42,47,61,73,6
12/01/2015,5,7,25,50,59,12
11/27/2015,16,20,39,56,59,12
11/24/2015,2,19,30,38,70,8
11/20/2015,9,12,29,37,67,15
11/17/2015,12,14,18,24,61,10
11/13/2015,17,18,31,35,59,9
11/10/2015,8,17,20,45,71,4
11/06/2015,10,31,35,50,72,8
11/03/2015,16,29,44,69,74,12
10/30/2015,17,41,51,53,56,15
10/27/2015,9,26,27,29,74,4
10/23/2015,25,32,37,45,70,1
10/20/2015,6,25,35,38,52,4
10/16/2015,2,38,48,61,68,4
10/13/2015,7,9,24,38,52,1
10/09/2015,8,9,21,63,75,14
10/06/2015,17,58,63,64,66,13
10/02/2015,4,14,29,31,47,9
09/29/2015,8,21,30,61,62,9
09/25/2015,3,8,38,51,64,4
09/22/2015,28,30,38,45,51,8
09/18/2015,17,34,35,51,65,7
09/15/2015,7,20,35,49,56,9
09/11/2015,5,11,31,50,67,14
09/08/2015,19,20,36,41,46,7
09/04/2015,17,21,39,52,57,5
09/01/2015,2,5,35,40,54,13
08/28/2015,13,35,40,60,68,9
08/25/2015,5,44,54,59,63,1
08/21/2015,13,15,21,41,72,1
08/18/2015,2,7,33,39,53,9
08/14/2015,12,15,20,52,71,3
08/11/2015,3,8,29,57,68,8
08/07/2015,1,38,53,63,66,10
08/04/2015,2,19,44,51,57,14
07/31/2015,28,32,33,40,46,10
07/28/2015,8,35,61,68,75,15
07/24/2015,10,12,26,60,62,13
